0.1
<id>W001<e><n>Short Sword<e><desc><e><desc2><e><ap>7<e><pow>1<e><def>0<e><bar>0<e><r>1-1<e><targ>Enemy<e><val>100<e><dmg>Strength<e><rtype>None<e><dtype>Physical<e><wt>Medium<e><req1><e><req2><e><xp1><e><xp2><e><com1><e><com2><e><wtype><e><aoe>1;main.BlastGridCellVal@225249ca;<e><attr><e>
<id>W002<e><n>Long Sword<e><desc><e><desc2>Big metal stick that whacks the boys where they don't wanna be. Whacked.<e><ap>7<e><pow>2<e><def>0<e><bar>0<e><r>1-1<e><targ>Enemy<e><val>180<e><dmg>Strength<e><rtype>None<e><dtype>Physical<e><wt>Medium<e><req1>PHY1<e><req2><e><xp1>PHY10<e><xp2><e><com1><e><com2><e><wtype>Sword<e><aoe>1;main.BlastGridCellVal@3bf0ad15;<e><attr><e>
<id>W003<e><n>Iron Edge<e><desc><e><desc2>The biggest tip with which to touch tips with, green-collar style.<e><ap>8<e><pow>3<e><def>0<e><bar>0<e><r>1-1<e><targ>Enemy<e><val>300<e><dmg>Strength<e><rtype>None<e><dtype>Physical<e><wt>Medium<e><req1>PHY2<e><req2><e><xp1>PHY10<e><xp2><e><com1><e><com2><e><wtype>Sword<e><aoe>1;main.BlastGridCellVal@29596e4e;<e><attr><e>
<id>W004<e><n>Royal Sword<e><desc><e><desc2>Examine the handle deeply. Beautiful. Made of the wettest driftwood.<e><ap>6<e><pow>4<e><def>0<e><bar>0<e><r>1-1<e><targ>Enemy<e><val>1100<e><dmg>Strength<e><rtype>None<e><dtype>Physical<e><wt>Medium<e><req1>PHY2<e><req2><e><xp1>PHY10<e><xp2><e><com1><e><com2><e><wtype>Sword<e><aoe>1;main.BlastGridCellVal@24b8f033;<e><attr><e>
<id>W005<e><n>Ethereal<e><desc><e><desc2>Destroys love, much like an eviction notice placed against your son.<e><ap>7<e><pow>2<e><def>0<e><bar>0<e><r>1-1<e><targ>Enemy<e><val>900<e><dmg>Strength<e><rtype>None<e><dtype>Mannial<e><wt>Medium<e><req1>PHY3<e><req2>INT2<e><xp1>PHY10<e><xp2>INT05<e><com1><e><com2><e><wtype>MagicSword<e><aoe>1;main.BlastGridCellVal@1494e177;<e><attr><e>
<id>W006<e><n>Knife<e><desc><e><desc2>Here's hoping bad-boy Jr. doesn't one-up you with his monster Leatherman.<e><ap>9<e><pow>1<e><def>0<e><bar>0<e><r>1-1<e><targ>Enemy<e><val>120<e><dmg>Speed<e><rtype>None<e><dtype>Physical<e><wt>Light<e><req1>DEX1<e><req2><e><xp1>DEX10<e><xp2><e><com1><e><com2><e><wtype>Knife<e><aoe>1;main.BlastGridCellVal@2ab26ef5;<e><attr><e>
<id>W007<e><n>Kukri <e><desc><e><desc2>You're no tough guy, so use this to get tough on their butthole.<e><ap>8<e><pow>2<e><def>0<e><bar>0<e><r>1-1<e><targ>Enemy<e><val>200<e><dmg>Speed<e><rtype>None<e><dtype>Physical<e><wt>Light<e><req1>DEX2<e><req2><e><xp1>DEX10<e><xp2><e><com1><e><com2><e><wtype>Knife<e><aoe>1;main.BlastGridCellVal@48fb5ef3;<e><attr>Poison+3:0;<e>
<id>W008<e><n>Great Sword<e><desc><e><desc2>A nine-feet sword. I've heard it's about average.<e><ap>5<e><pow>3<e><def>1<e><bar>0<e><r>1-1<e><targ>Enemy<e><val>300<e><dmg>Strength<e><rtype>None<e><dtype>Physical<e><wt>TwoHanded<e><req1>PHY2<e><req2><e><xp1>PHY10<e><xp2><e><com1><e><com2><e><wtype>GreatSword<e><aoe>1;main.BlastGridCellVal@2ba106b7;<e><attr><e>
<id>W009<e><n>Flatblade<e><desc><e><desc2><e><ap>5<e><pow>4<e><def>2<e><bar>0<e><r>1-1<e><targ>Enemy<e><val>500<e><dmg>Strength<e><rtype>None<e><dtype>Physical<e><wt>TwoHanded<e><req1>PHY3<e><req2><e><xp1>PHY10<e><xp2><e><com1><e><com2><e><wtype>GreatSword<e><aoe>1;main.BlastGridCellVal@180dc5ed;<e><attr><e>
<id>W010<e><n>Eisenmeteor<e><desc><e><desc2>"This is a mass extinction event," you'll say to everyone and no one.<e><ap>5<e><pow>3<e><def>2<e><bar>1<e><r>1-1<e><targ>Enemy<e><val>800<e><dmg>Strength<e><rtype>None<e><dtype>Explosive<e><wt>TwoHanded<e><req1>PHY4<e><req2>INT2<e><xp1>PHY15<e><xp2>INT05<e><com1><e><com2><e><wtype>MagicSword<e><aoe>1;main.BlastGridCellVal@2171c5df;<e><attr><e>
