0.1
<id>W001<e><n>Bronze Sword<e><desc><e><desc2>Big metal stick that whacks the boys where they don't wanna be. Whacked.<e><ap>7<e><pow>2<e><def>0<e><bar>0<e><mov>0<e><r>1-1<e><targ>Enemy<e><val>180<e><req1>PHY1<e><req2><e><xp1>PHY10<e><xp2><e><com1><e><com2><e><wtype>Sword<e><aoe>1;1:00;<e><attr>;;;;<e>
<id>W002<e><n>Iron Edge<e><desc><e><desc2>The biggest tip with which to touch tips with, green-collar style.<e><ap>8<e><pow>3<e><def>0<e><bar>0<e><mov>0<e><r>1-1<e><targ>Enemy<e><val>300<e><req1>PHY2<e><req2><e><xp1>PHY10<e><xp2><e><com1><e><com2><e><wtype>Sword<e><aoe>1;1:00;<e><attr>;;;;<e>
<id>W003<e><n>Royal Sword<e><desc><e><desc2>Examine the handle deeply. Beautiful. Made of the wettest driftwood.<e><ap>6<e><pow>4<e><def>0<e><bar>0<e><mov>0<e><r>1-1<e><targ>Enemy<e><val>1100<e><req1>PHY2<e><req2><e><xp1>PHY10<e><xp2><e><com1><e><com2><e><wtype>Sword<e><aoe>1;1:00;<e><attr>;;;;<e>
<id>W004<e><n>Ethereal<e><desc><e><desc2>Destroys love, much like an eviction notice placed against your son.<e><ap>7<e><pow>2<e><def>0<e><bar>0<e><mov>0<e><r>1-1<e><targ>Enemy<e><val>900<e><req1>PHY3<e><req2>INT2<e><xp1>PHY10<e><xp2>INT05<e><com1><e><com2><e><wtype>MagicSword<e><aoe>1;1:00;<e><attr>ManaDAM+0:0;;;;<e>
<id>W005<e><n>Knife<e><desc><e><desc2>Here's hoping bad-boy Jr. doesn't one-up you with his monster Leatherman.<e><ap>9<e><pow>1<e><def>0<e><bar>0<e><mov>1<e><r>1-1<e><targ>Enemy<e><val>120<e><req1>DEX1<e><req2><e><xp1>DEX10<e><xp2><e><com1><e><com2><e><wtype>Knife<e><aoe>1;1:00;<e><attr>;;;;<e>
<id>W006<e><n>Kukri<e><desc><e><desc2>You're no tough guy, so use this to get tough on their butthole.<e><ap>8<e><pow>2<e><def>0<e><bar>0<e><mov>1<e><r>1-1<e><targ>Enemy<e><val>200<e><req1>DEX2<e><req2><e><xp1>DEX10<e><xp2><e><com1><e><com2><e><wtype>Knife<e><aoe>1;1:00;<e><attr>;;;;<e>
<id>W007<e><n>Great Sword<e><desc><e><desc2>A nine-feet sword. I've heard it's about average.<e><ap>5<e><pow>3<e><def>1<e><bar>0<e><mov>-1<e><r>1-1<e><targ>Enemy<e><val>300<e><req1>PHY2<e><req2><e><xp1>PHY10<e><xp2><e><com1><e><com2><e><wtype>GreatSword<e><aoe>1;1:00;<e><attr>;;;;<e>
<id>W008<e><n>Flatblade<e><desc><e><desc2><e><ap>5<e><pow>4<e><def>2<e><bar>0<e><mov>-1<e><r>1-1<e><targ>Enemy<e><val>500<e><req1>PHY3<e><req2><e><xp1>PHY10<e><xp2><e><com1><e><com2><e><wtype>GreatSword<e><aoe>1;1:00;<e><attr>;;;;<e>
<id>W009<e><n>Eisenmeteor<e><desc><e><desc2>"This is a mass extinction event," you'll say to everyone and no one.<e><ap>5<e><pow>3<e><def>2<e><bar>1<e><mov>-1<e><r>1-1<e><targ>Enemy<e><val>800<e><req1>PHY4<e><req2>INT2<e><xp1>PHY15<e><xp2>INT05<e><com1><e><com2><e><wtype>MagicSword<e><aoe>1;1:00;<e><attr>ExplosiveDAM+0:0;;;;<e>
<id>W010<e><n>Sledge Hammer<e><desc><e><desc2>Give your boy the smack, send him to the back.<e><ap>6<e><pow>2<e><def>0<e><bar>0<e><mov>-1<e><r>1-1<e><targ>Enemy<e><val>250<e><req1>PHY1<e><req2><e><xp1>PHY10<e><xp2><e><com1><e><com2><e><wtype>Hammer<e><aoe>1;1:00;<e><attr>ArmorBreak+0:0;;;;<e>
<id>W011<e><n>Megaton Hammer<e><desc><e><desc2>Once used to destroy words and ideas.<e><ap>5<e><pow>3<e><def>0<e><bar>0<e><mov>-1<e><r>1-1<e><targ>Enemy<e><val>400<e><req1>PHY3<e><req2><e><xp1>PHY15<e><xp2><e><com1><e><com2><e><wtype>Hammer<e><aoe>1;1:00;<e><attr>ArmorBreak+1:0;;;;<e>
<id>W012<e><n>Spiked Hammer<e><desc><e><desc2>Slides into hairy chests like you slidin' into DMs.<e><ap>6<e><pow>2<e><def>0<e><bar>0<e><mov>0<e><r>1-1<e><targ>Enemy<e><val>220<e><req1>PHY2<e><req2><e><xp1>PHY10<e><xp2><e><com1><e><com2><e><wtype>Hammer<e><aoe>1;1:00;<e><attr>IgnoreDEF+0:0;;;;<e>
<id>W013<e><n>Shield<e><desc><e><desc2>Protects you from even the toughest of your dad's blows.<e><ap>5<e><pow>1<e><def>2<e><bar>0<e><mov>0<e><r>1-1<e><targ>Enemy<e><val>200<e><req1>PHY1<e><req2><e><xp1>PHY10<e><xp2><e><com1><e><com2><e><wtype>Shield<e><aoe>1;1:00;<e><attr>;;;;<e>
<id>W014<e><n>Aegis Shield<e><desc><e><desc2>The gods divined this specifically to protect your big hands.<e><ap>5<e><pow>1<e><def>3<e><bar>1<e><mov>0<e><r>1-1<e><targ>Enemy<e><val>400<e><req1>PHY2<e><req2><e><xp1>PHY10<e><xp2><e><com1><e><com2><e><wtype>Shield<e><aoe>1;1:00;<e><attr>;;;;<e>
<id>W015<e><n>Old Pistol<e><desc><e><desc2>Also known as the "tiny bee" because it kills itself upon first use.<e><ap>6<e><pow>1<e><def>0<e><bar>0<e><mov>0<e><r>1-3L<e><targ>Enemy<e><val>220<e><req1>DEX1<e><req2><e><xp1>DEX10<e><xp2><e><com1><e><com2><e><wtype>Sidearm<e><aoe>1;1:00;<e><attr>;;;;<e>
<id>W016<e><n>Magnum Revolver<e><desc><e><desc2>Also known as the "big bee" because it's scary to have in your home.<e><ap>4<e><pow>3<e><def>0<e><bar>0<e><mov>0<e><r>1-3L<e><targ>Enemy<e><val>350<e><req1>DEX2<e><req2><e><xp1>DEX10<e><xp2><e><com1><e><com2><e><wtype>Sidearm<e><aoe>1;1:00;<e><attr>;;;;<e>
<id>W017<e><n>Point Rifle<e><desc><e><desc2>Pricks enemies from so far away, even when they told you "no."<e><ap>6<e><pow>2<e><def>0<e><bar>0<e><mov>-1<e><r>2-5L<e><targ>Enemy<e><val>280<e><req1>DEX2<e><req2>TCH1<e><xp1>DEX10<e><xp2>TCH05<e><com1><e><com2><e><wtype>Rifle<e><aoe>1;1:00;<e><attr>;;;;<e>
<id>W018<e><n>Sniper Rifle<e><desc><e><desc2>.50 kcals gon' make you phat-ass beats upped.<e><ap>5<e><pow>5<e><def>-1<e><bar>0<e><mov>-2<e><r>3-7L<e><targ>Enemy<e><val>1000<e><req1>DEX5<e><req2>TCH2<e><xp1>TCH20<e><xp2><e><com1><e><com2><e><wtype>Rifle<e><aoe>1;1:00;<e><attr>;;;;<e>
<id>W019<e><n>Ether Cannon<e><desc><e><desc2>Fires a beam of concentrated dubstep.<e><ap>4<e><pow>3<e><def>0<e><bar>0<e><mov>-1<e><r>3-6L<e><targ>Enemy<e><val>800<e><req1>DEX4<e><req2>TCH3<e><xp1>TCH10<e><xp2>DEX10<e><com1><e><com2><e><wtype>BeamRifle<e><aoe>1;1:00;<e><attr>ManaDAM+0:0;;;;<e>
